titulo,direccion,barrio,ciudad,moneda,precio,expensas,m2_cubiertos,dormitorios,banos,ambientes,antiguedad,link,pagina
"Exelente 4 amb. con Dep.y cochera fija,  piso 6, contra frente,  sol del este","San José De Calasanz 500, Piso 6",Caballito,CABA,ARS,1200000,470000,88.0,3,,,50 años,,1
3 ambientes al frente con cochera,"Rio De Janeiro 800, Piso 6°",Caballito,CABA,ARS,1300000,410000,56.0,2,,,15 años,,1
Monoambiente con balcón en Caballito- Amenities y seguridad,Avenida Doctor Honorio Pueyrredón 400,Caballito,CABA,ARS,650000,205000,33.0,,1,,10 años,,1
NICOLAS REPETTO Y AV. GAONA - IMPECABLE FRENTE BALCON TODO SOL APTO PROFESIONAL FULL AMENITIES,Doctor Nicolás Repetto,Caballito,CABA,ARS,550000,207800,33.0,,1,,20 años,,1
"DOS AMBIENTES,  baño en suite y toilette, amenities","Avenida Córdoba 5100, Piso 3",Palermo,CABA,ARS,930000,270000,42.0,1,,,9 años,,1
Al fte vivienda /apto profesional/ comercial /MALL los arcos,"Fray Justo Santa María De Oro 2200, Piso 1°",Palermo Soho,Palermo,ARS,550000,50000,18.0,,1,1,,,1
Maravilloso Dos Ambientes con Balcón Aterrazado en Palermo,"Fitz Roy 1400, Piso 7",Palermo Hollywood,Palermo,ARS,1700000,298000,65.0,1,,,14 años,,1
Luminoso Departamento Dos Ambientes en Alquiler,Avenida Raúl Scalabrini Ortiz 3100,Botánico,Palermo,USD,900,300000,45.0,1,,,10 años,,1
"Alquiler 2 amb en Palermo, excelente ubicacion,","Humboldt 2400, Piso 4",Palermo,CABA,ARS,600000,175000,30.0,1,1,,,,1
2 AMBIENTES C/ DEPENDENCIA EN EXCELENTE ZONA C/ Balcón  y cochera expensas incluyen Aysa,"John F Kennedy ( Ex Darregueyra) 2900, Piso 4",Palermo,CABA,USD,1200,440000,70.0,1,,,65 años,,1
"Luminoso monoambiente con balcón en alquiler a pasos de Av. Libertador, Las Cañitas.",Jose Ortega Y Gasset 1700,Las Cañitas,Palermo,ARS,900000,230000,33.0,,1,,25 años,,1
Departamento de 2 ambientes en alquiler – Refaccionado a nuevo,"Charcas 3300, Piso 8",Palermo,CABA,ARS,900000,150000,39.99,1,,,45 años,,1
EXCELENTE AMBIENTE MUY LUMINOSO APTO PROFESIONAL DUEÑO ALQUILA,"Antezana 200, Piso 6",Parque Centenario,CABA,ARS,650000,45000,32.0,,1,,32 años,,1
