id_aviso,titulo,direccion,barrio,ciudad,moneda,precio,m2_cubiertos,dormitorios,banos,ambientes,tipo_propiedad,link
MLA3514597138,Departamento En Alquiler En Floresta,"Rivera Indarte Al 100, Floresta, Capital Federal",Floresta,Capital Federal,ARS,650000,40.0,,1,20,departamento,https://departamento.mercadolibre.com.ar/MLA-3514597138-departamento-en-alquiler-en-floresta-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=1&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA3637338538,Excelente 4 Ambientes Amplios - Con Cochera Fija Cubierta  Balcon - 2 Baños Completos- En Inmejorable Estado - Al Frente  Regia Vista,"Av. Gaona 4400, Floresta, Capital Federal",Floresta,Capital Federal,ARS,1300000,,,2,4,departamento,https://departamento.mercadolibre.com.ar/MLA-3637338538-excelente-4-ambientes-amplios-con-cochera-fija-cubierta-balcon-2-banos-completos-en-inmejorable-estado-al-frente-regia-vista-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=2&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA1911101529,"Alquier Dto 2 Ambientes Con Balcon, Sobre Av. Directorio","AVENIDA DIRECTORIO Al 3325. Entre Azul Y Pergamino, Floresta, Capital Federal",Floresta,Capital Federal,ARS,700000,40.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-1911101529-alquier-dto-2-ambientes-con-balcon-sobre-av-directorio-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=3&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA1934913949,Alquiler Departamento Floresta,"Fernandez 377, Floresta, Capital Federal",Floresta,Capital Federal,ARS,480000,30.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-1934913949-alquiler-departamento-floresta-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=4&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA3915392300,Depto Mono Alquiler  En Floresta Con Balcón Frente,"Mercedes 1000, Floresta, Capital Federal",Floresta,Capital Federal,ARS,480000,27.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-3915392300-depto-mono-alquiler-en-floresta-con-balcon-frente-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=5&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA2061625853,Alquiler Floresta Depto 2 Amb Con Balcón Francés,"Ensenada 100, Floresta, Capital Federal",Floresta,Capital Federal,ARS,595000,35.0,,1,2,departamento,https://departamento.mercadolibre.com.ar/MLA-2061625853-alquiler-floresta-depto-2-amb-con-balcon-frances-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=6&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA2019571945,Alquiler Departamento - Monoambiente Divisible,"Av Directorio Al 3500, Floresta, Capital Federal",Floresta,Capital Federal,ARS,600000,42.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-2019571945-alquiler-departamento-monoambiente-divisible-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=7&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA2019492067,Alquiler Departamento - Monoambiente Divisible,"Av Directorio Al 3500, Floresta, Capital Federal",Floresta,Capital Federal,ARS,600000,42.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-2019492067-alquiler-departamento-monoambiente-divisible-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=8&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA1945487519,Alquiler 3 Ambientes Balcon Floresta,"Mercedes 200, Floresta, Capital Federal",Floresta,Capital Federal,ARS,880000,47.0,,1,3,departamento,https://departamento.mercadolibre.com.ar/MLA-1945487519-alquiler-3-ambientes-balcon-floresta-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=9&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
MLA2035747249,Alquiler Un Ambiente Floresta,"Mercedes Al 98. Entre Segurola Y Gualeguaychu, Floresta, Capital Federal",Floresta,Capital Federal,ARS,520000,27.0,,1,1,departamento,https://departamento.mercadolibre.com.ar/MLA-2035747249-alquiler-un-ambiente-floresta-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=10&type=item&tracking_id=226d0e74-4897-4c69-8de4-e8921dcdb09a&sid=search
